front,back,hint,publishedAt
"muss schon genau hinsehen","you have to look closely","Wer Wert darauf legt, dass ein Produkt nicht nur weitgehend pestizidfrei ist und umweltschonend angebaut wird, muss schon genau hinsehen.","2024-09-17T13:27:37.264Z"
"der Leitungssucher","the wire/stud finder","Der Leitungssucher zeigt Stromleitungen und Metall an.","2025-04-21T13:02:29.271Z"
"abzuspeichern","to save","es abzuspeichern\nund daraus Neues zu lernen.","2024-07-20T14:43:07.250Z"
"schlug","striked/punched/hit","Er schlug den Ball über das Netz.","2025-04-23T16:37:14.782Z"
"die Schere","scissors/shears","Ich brauche die Schere, um das Papier zu schneiden.","2023-07-21T19:19:15.567Z"
"die Erklärungsnot\n\n","the need for explanation\n\n","","2025-03-18T21:11:09.786Z"
"erneut","again","Sobald Sie alle erforderlichen Dokumente vorlegen, kann Ihr Antrag erneut geprüft werden.","2024-08-15T16:01:56.779Z"
"das Fremdschämen","the foreign shame","","2025-03-18T21:14:36.870Z"
"Wiederholen","Redo/Repeat","Kannst du das bitte wiederholen?","2025-04-28T21:12:38.780Z"
"der lage","the situation","Wir müssen die Lage genau analysieren, bevor wir eine Entscheidung treffen.","2025-04-07T20:11:09.685Z"
"Die Science-Fiction","The science fiction","","2025-04-28T21:01:20.764Z"
"erteilen","To give","Der Chef hat mir die Erlaubnis erteilt, früher nach Hause zu gehen.","2024-07-23T15:50:36.670Z"
"der dichter","the poet","Johann Wolfgang von Goethe, der zu den größten deutschen Dichter gehören.","2025-03-16T19:04:09.594Z"
"Herabgesetzt","Reduced","Der Preis für das Produkt wurde herabgesetzt.","2025-03-08T12:33:28.140Z"
"der Gehaltsscheck","the paycheck","Der Gehaltsscheck zeigt, wie viel ich diesen Monat verdient habe.","2025-03-17T20:45:18.325Z"
"Liebeskummer","Lovesickness","Er konnte seinen Liebeskummer nicht überwinden und fühlte sich sehr allein.","2025-03-18T21:18:45.607Z"
"Schüssel","bowl","Ich habe eine große Schüssel für den Salat gekauft.","2025-04-30T21:59:27.568Z"
"Außerdem","besides that/in addition/furthermore","Außerdem geben die monatlichen Abrechnungen den Menschen eine Übersicht über die Ausgaben.","2023-07-08T09:55:10.369Z"
"Göttern","Gods","","2025-04-29T16:58:10.849Z"
"ebenfalls","Likewise","Meine Schwester studiert Medizin. Mein Bruder ebenfalls.","2024-07-05T16:32:57.447Z"
"Schweinshaxen","Pork knuckles","Die Deutschen lieben Bratwürste, Schweinshaxen und Königsberger Klopse, heißt es.","2024-09-05T18:01:08.496Z"
"Nachsehen","to look up/after or to check","Ich muss nachsehen, ob ich meine Hausaufgaben gemacht habe.","2025-03-08T12:29:38.888Z"
"abwechslungsreiche","varied","Ich suche nach einem abwechslungsreichen Job.","2024-07-24T20:26:00.680Z"
"verlangen","demand","Ich verlange eine Erklärung.","2024-06-17T20:42:43.215Z"
"das Seepferdchen","the sea horse","","2024-08-26T22:57:53.535Z"
"satt","full (after eating)","Ich bin satt.","2025-04-18T22:49:37.479Z"
"heute","today","Heute gehe ich ins Kino.","2025-04-26T12:05:47.469Z"
"Eine Bilanz 100 Tage nach Amtsantritt.","A review 100 days after taking office.","","2024-12-17T23:35:32.217Z"
"der Sponsor","the sponsor","","2025-03-17T20:53:53.739Z"
"verlegen","embarrassed","Er war verlegen, als er vor der Klasse sprechen musste.","2024-09-09T22:21:42.473Z"
"aufschluss","information","","2024-08-09T21:15:04.056Z"
"die Tagesordnung","the agenda","Wir müssen die Tagesordnung noch besprechen.","2025-03-17T20:54:06.657Z"
"freischaltung","Activation","","2024-09-29T14:53:26.351Z"
"fernzuhalten","keep away","Die Eltern versuchen, ihre Kinder von gefährlichen Situationen fernzuhalten.","2024-08-12T22:14:56.826Z"
"vereidigt","sworn in","Juni wurde Judith Suminwa Tuluka als Premierministerin der DR Kongo vereidigt.","2024-12-17T23:34:56.202Z"
"schütteln","shake","Ich schüttele den Teppich aus.","2024-06-17T20:39:09.818Z"
"erreichbar","reachable","- Wollen wir .. (etwas machen)...?\n- Ja, das können wir tun. / Ja, das machen  wir.\n- Die Idee finde ich komisch / nicht gut/praktisch/zutreffend/erreichbar / Es geht nicht, aber ...","2025-03-16T19:13:29.071Z"
"Nachhaltigkeit","Sustainability","","2024-09-17T13:20:44.828Z"
"derselben","the same","Wir haben die derselben Bücher gelesen.","2025-04-06T20:09:22.168Z"
"nirgendwo","nowhere","Ich kann meine Schlüssel nirgendwo finden.","2024-09-18T20:09:02.480Z"
"der Kummerspeck","the grief bacon","Wenn ich gestresst bin, greife ich oft zu Schokolade und bekomme Kummerspeck.","2025-03-18T21:18:21.989Z"
"gewähren","to allow/grant","Die Regierung gewährt Steuererleichterungen für kleine Unternehmen.","2024-07-23T15:50:18.145Z"
"ungeachtet","regardless","Ungeachtet der schlechten Wetterbedingungen fand das Konzert statt.","2024-09-20T22:17:50.348Z"
"das Kopfkino","the head cinema","","2025-03-18T21:17:49.530Z"
"jammern","whine","Er jammert immer über seine Hausaufgaben.","2024-09-29T11:30:48.403Z"
"unruhigen","troubled","Während dieser unruhigen Zeiten war es nicht ungewöhnlich, dass Prediger ihre Identität verbergen mussten, um eine Verfolgung samt fataler Strafen, bis hin zum Tod, zu vermeiden.","2024-09-29T16:55:04.289Z"
"der Hase (n)","Rabbit","Zu Ostern bringt der Osterhase die Eier.","2024-08-26T22:57:35.074Z"
"die Behörde","the authority","Ich laufe von Behörde zu Behörde.","2023-07-10T15:29:48.954Z"
"Steht","Stands","Die Lampe steht auf dem Tisch.","2025-03-08T12:35:28.611Z"
"fazits","Conclusion","","2024-08-09T21:30:46.626Z"
"verbrannte","burnt","Die alte Scheune verbrannte in der Nacht.","2025-04-06T20:12:51.017Z"
"Unterjochen","Subjugate","","2025-04-06T20:15:08.884Z"
"beeinträchtigen","to affect/impair","Die Lärmbelästigung kann die Konzentration der Schüler beeinträchtigen.","2024-08-25T12:08:28.328Z"
"das asyl","asylum","Die Regierung hat neue Gesetze zum Thema Asyl verabschiedet.","2025-03-16T19:03:26.002Z"
"das Risiko","the risk","","2025-03-17T20:59:33.501Z"
"verharmlost","Trivialized/Made light of","Der verhamlost Park wurde endlich wieder aufgeräumt.","2025-03-08T12:32:54.266Z"
"fesselnd","captivating","Das Buch war so fesselnd, dass ich es in einer Nacht durchgelesen habe.","2024-09-09T22:19:44.770Z"
"begeistert","excited","Ich bin begeistert.","2024-09-21T16:45:55.939Z"
"weitgehend","largely","Wer Wert darauf legt, dass ein Produkt nicht nur weitgehend pestizidfrei ist und umweltschonend angebaut wird, muss schon genau hinsehen.","2024-09-17T13:26:57.264Z"
"Müllbeutel","Bin liners","Ich habe einen neuen Müllbeutel für die Küche gekauft.","2025-03-08T12:34:40.754Z"
"der Deal","The deal (Noun)","Wir haben einen Deal über die Lieferung der Waren abgeschlossen.","2025-03-17T20:45:03.953Z"
"das digitale Marketing","digital marketing","","2025-03-17T20:45:40.848Z"
"bedienen","serve","Kannst du die Maschine bedienen?","2025-03-16T19:11:46.142Z"
"der Bankräuber","the bank robber","Der Bankräuber hat die Bank mit einer Waffe bedroht und das Geld genommen.","2024-07-22T13:15:11.522Z"
"die Daten","the data","Die Daten müssen gesichert werden.","2024-09-17T13:37:59.198Z"
"bestehen","to exist/to pass","Die Möglichkeit besteht.","2024-07-10T20:20:14.910Z"
"verbannen","to banish/exile","Die Stadt beschloss, die alten Traditionen zu verbannen.","2024-09-17T19:42:38.083Z"
"herunterladen","to download","Ich habe die Datei noch nicht heruntergeladen.","2024-09-17T13:34:22.706Z"
"leitfaden","guide","","2024-08-01T19:01:02.311Z"
"der Elefant (en)","the elephant","","2024-08-26T22:57:49.665Z"
"die Flunder","the flounder","","2024-08-26T22:57:58.462Z"
"bekommen","to get / receive","Ich bekomme ein Geschenk.","2024-08-14T20:34:20.977Z"
"brandschatzen","pillage","","2024-09-17T19:49:21.731Z"
"Räumlichkeiten","Premises","In den Räumlichkeiten des Nationalmuseums von Schottland in Edinburgh findet man viele einzigartige und faszinierende Gegenstände.","2024-09-24T00:14:33.764Z"
"Gottlos","Godless","","2025-03-08T12:35:13.931Z"
"erledigen","to complete/finish/take care of","Ich muss noch meine Hausaufgaben erledigen.","2025-03-16T19:04:23.644Z"
"der Anbeginn","the beginning","","2025-03-17T20:43:03.409Z"
"die Vorschrift","the Regulation","Die Vorschrift besagt, dass alle Mitarbeiter pünktlich zur Arbeit erscheinen müssen.","2024-08-12T18:53:59.732Z"
"etlichen","quite a few","Ich habe etlichen Freunden von der Party erzählt.","2024-08-12T22:12:59.899Z"
"Einschränkungen","Restrictions","Und auch das Kochverhalten hat sich verändert, denn Restaurants, Cafés und auch die Kantinen in den Firmen dürfen während der Pandemie nur mit Einschränkungen öffnen.","2024-09-05T18:03:53.497Z"
"lässig","casual","Außerhalb des Büros trage ich lässige Kleidung.","2024-09-10T21:19:36.190Z"
"sachschäden","property damage","","2024-08-01T19:02:48.640Z"
"Verfolgung","Pursuit","Während dieser unruhigen Zeiten war es nicht ungewöhnlich, dass Prediger ihre Identität verbergen mussten, um eine Verfolgung samt fataler Strafen, bis hin zum Tod, zu vermeiden.","2024-09-29T16:55:20.837Z"
"das Fernweh","the wanderlust","","2025-03-18T21:12:55.426Z"
"die Aufzeichnung","the recording","","2024-09-17T13:34:16.607Z"
"das Dach","the roof","Das Dach des Hauses ist rot.","2024-10-14T09:54:10.853Z"
"Die Vermehrung","The propagation, increase, augmentation, growth","Nach dem Regen konnten wir die Vermehrung der Pilze im Wald beobachten.","2025-03-08T11:02:46.102Z"
"Zuschuss","Grant (for individuals)","Mein Arbeitgeber gewährt mir einen monatlichen Zuschuss für die Kinderbetreuung.","2024-07-23T14:55:34.311Z"
"Beteiligung","Participation","Ich freue mich auf deine Beteiligung an der Party.","2024-07-23T22:20:00.831Z"
"Wollen wir uns duzen?","Shall we be on first-name terms?","- Wollen wir uns duzen?\n- Natürlich, können wir auch duzen.\n- Selbstverständlich ist es uns möglich, zu duzen.","2025-03-16T19:13:44.916Z"
"die Ware","the goods","","2025-03-17T20:59:28.079Z"
"geworden","become","Er ist ein guter Schüler geworden.","2024-09-18T19:55:56.488Z"
"der Investor","the investor","","2025-03-17T20:59:31.178Z"
"reif","ripe","Er ist ein reifer Mensch, der gut mit Problemen umgehen kann.","2025-03-16T19:11:18.986Z"
"somit","thus / therefore / so","Es regnete den ganzen Tag, somit fiel das Fußballspiel aus.","2024-09-17T18:21:52.999Z"
"daraufhin","thereupon/as a result","Er baute daraufhin einen Rattenpark,\neinen wahres Paradies für Ratten.","2024-09-06T19:50:43.534Z"
"die Achse","the Axis","Die Räder sind an der Achse befestigt.","2024-09-09T22:07:18.178Z"
"fortsetzen","continue","Wir werden die Diskussion morgen fortsetzen.","2025-03-16T19:04:30.769Z"
"der Jaguar (e)","The Jaguar","","2024-08-26T22:57:55.871Z"
"na los","Come on","Na los, wir müssen jetzt gehen!","2025-03-16T11:52:49.593Z"
"die Katze (n)","the cat","Hast du eine Katze?","2024-08-26T22:57:32.378Z"
"kommerziell","commercially","","2025-03-17T20:54:40.159Z"
"Die Errungenschaft  (en)","The achievement","Die Errungenschaft des Wissenschaftlers wurde mit einem Preis gewürdigt.","2025-03-08T11:00:04.780Z"
"öfter","more often","Denn immer mehr Menschen in Deutschland verzichten öfter mal auf Fleisch und greifen zu vegetarischen oder veganen Alternativen (55 %).","2024-09-05T18:01:29.497Z"
"zahllose","countless","zahllose Bakterien,\ndie die wahllosen Zwischenräume","2024-08-25T12:03:23.508Z"
"ausgleichen","balance","Diese Übung gleicht den ganzen Körper aus","2024-09-10T21:20:10.080Z"
"Versehen","mistake/error","Das war ein Versehen, ich habe das nicht absichtlich gemacht.","2024-07-21T13:50:05.815Z"
"die Marke","the brand","","2025-03-17T20:44:56.060Z"
"die Summe","the sum","","2025-03-17T20:45:46.652Z"
"teilen","to divide/share","Ich teile gerne meine Schokolade mit meinen Freunden.","2024-07-24T20:30:42.414Z"
"der stock","the stick","Ich brauche einen Stock zum Wandern.","2024-06-17T21:11:39.238Z"
"abgeschnitten","truncated","Die Kante des Papiers wurde sauber abgeschnitten.","2024-08-09T21:48:14.325Z"
"weitergegeben","passed on","Gemeinsam mit einer Perücke und einem Schwert wurde sie über Generationen als Familienerbstück weitergegeben.","2024-09-24T00:15:20.638Z"
"einzudämmen","to contain","Um die Zahl unerlaubter Einreisen weiter einzudämmen, habe sie vorübergehende Kontrollen an allen deutschen Landgrenzen angeordnet, teilte Faeser in Berlin mit.","2024-09-14T13:38:54.098Z"
"Nachdem","After this","Nachdem die Laterna Magica die Projektion von Bildern etabliert hatte, wurden viele andere Geräte entwickelt – mit dem Ziel, die Bilder zum Laufen zu bringen.","2024-09-21T13:39:59.465Z"
"die Seele (n)","the soul","Die Musik berührt meine Seele.","2024-09-29T16:56:21.872Z"
"befreunden","befriend","Es ist wichtig, sich mit neuen Klassenkameraden zu befreunden.","2025-03-16T19:04:13.680Z"
"Gerichte","dishes","Wenn wir beispielsweise Gemüse nehmen, so kann es gekocht, gebraten, gedünstet oder überbacken werden; man kann auch Püree, Bouletten und andere leckere Gerichte zubereiten.","2024-08-24T21:33:48.180Z"
"das raumschiff","the spaceship","","2024-09-18T19:58:13.301Z"
"der Specht","the woodpecker","","2024-08-26T22:58:01.430Z"
"wertgeschätzt","valued","Ich fühle mich in meiner Arbeit wertgeschätzt.","2024-06-22T12:43:20.492Z"
"Suchanfragen","Search queries","Eine Auswertung von Suchanfragen im Internet ergab, dass deutsche Klassiker gar nicht hoch im Kurs stehen.","2024-09-05T18:04:21.885Z"
"Annerkennung","Recognition","","2024-09-18T13:45:17.155Z"
"gegen","against","Aber Österreich war gegen einen deutschen Staat, denn dort lebten damals viele Tschechen, Ungarn und Rumänen.","2024-08-14T20:28:06.929Z"
"wahrzeichen","landmark","","2024-08-09T21:19:52.848Z"
"Privatsphäre","Privacy","Datenschutz und Privatsphäre","2024-12-16T22:58:10.153Z"
"Der Atomstreit mit dem Iran ist beigelegt","The nuclear dispute with Iran has been settled","","2024-10-28T23:37:23.690Z"
"anbieten","to offer","Ich möchte dir einen Kaffee anbieten.","2024-09-17T18:25:26.108Z"
"die Schublade","drawer","Ich habe meine Socken in der Schublade verstaut.","2024-09-29T11:44:10.893Z"
"die traube","the grape","Die Trauben im Garten sind reif und süß.","2025-03-16T19:11:15.847Z"
"zusammenführen","to merge/bring together/combine","Ich werde die Informationen aus verschiedenen Quellen zusammenführen.","2024-07-20T18:17:41.541Z"
"neigen","to incline/lean/tend","Die Blume neigt sich zur Sonne.","2024-09-26T22:36:33.444Z"
"erlegen","to shoot","Der Jäger hat gestern einen Hirsch erlegt.","2024-06-17T20:44:43.096Z"
"oder bahne dir deinen eigenen Weg","or pave your own way","","2025-04-26T12:55:09.485Z"
"Fehlerbehebung","Troubleshooting","","2024-07-24T20:25:09.667Z"
"der Aal (e)","the eel","","2024-08-26T22:57:55.426Z"
"das Optionsfeld","the radio button","","2025-04-28T21:17:25.855Z"
"und so weiter","and so on","Wir haben Äpfel, Birnen, Bananen und so weiter.","2025-01-31T17:56:09.659Z"
"die küste","the coast","Die Küste ist ein beliebtes Urlaubsziel für viele Touristen.","2025-03-16T19:10:41.177Z"
"der Regenwurm","the earthworm","","2024-08-26T22:57:54.491Z"
"durchsuchen","Browse","","2024-09-17T13:36:02.765Z"
"dreckigen","dirty","Ein Kratzer von einem dreckigen Stock\nim Park - wie ärgerlich.","2024-08-25T12:03:02.852Z"
"schüchtern","shy","","2024-04-25T10:30:49.202Z"
"weiterführende","further education","Die weiterführende Schule bietet viele verschiedene Fächer an.","2024-08-09T21:30:06.449Z"
"die Fassung","the version","Die neue Fassung des Buches enthält viele zusätzliche Informationen.","2024-10-08T23:12:03.516Z"
"die Botschaft","the message","Mein Mann arbeitet für die deutsche Botschaft.","2024-09-17T13:37:32.837Z"
"einfangen","capture, catch","Ein Foto kann helfen, den Moment einzufangen.","2024-09-10T21:20:01.602Z"
"Verfechter","Advocate/proponent (A person who supports or defends a particular cause, idea, or policy)","Er ist ein leidenschaftlicher Verfechter der Umweltschutzbewegung.","2024-09-29T16:54:42.296Z"
"der Funk","the Radio/broadcasting","Ich höre gerne Musik über das Funkradio.","2024-09-20T21:38:34.256Z"
"Zeitverschwendung","Waste of time","","2024-12-16T22:56:38.860Z"
"getigerte","tabby","","2024-08-13T20:07:21.841Z"
"die Buchhaltung","the accounting","","2025-03-17T20:54:02.211Z"
"das Eichhörnchen","the squirrel","Eichhörnchen tun das instinktiv.","2024-07-21T11:52:39.251Z"
"vorübergehende","temporary","Um die Zahl unerlaubter Einreisen weiter einzudämmen, habe sie vorübergehende Kontrollen an allen deutschen Landgrenzen angeordnet, teilte Faeser in Berlin mit.","2024-09-14T13:39:00.082Z"
"Einmischung","Interference/Intervention","","2024-09-29T16:54:52.292Z"
"zugegangen","received","","2024-09-14T13:38:27.025Z"
"wo sonst","where else","","2024-09-13T12:52:49.994Z"
"gewaltiger","massive","In dem Kernkraftwerk war es im März 2011 infolge eines schweren Erdbebens und gewaltiger Tsunamis zu mehreren Kernschmelzen gekommen.","2024-09-14T13:44:51.145Z"
"die Krabbe (n)","the crab","","2024-08-26T22:57:53.296Z"
"die Gehaltserhöhung","the Salary increase","Ich habe eine Gehaltserhöhung bekommen.","2024-06-17T20:42:27.660Z"
"verfügbar","available","","2023-10-17T03:57:01.849Z"
"selber","oneself / by oneself","Ich mache das selber.","2024-09-17T18:20:39.982Z"
"Die Bilanz","The Balance sheet","Eine Bilanz 100 Tage nach Amtsantritt.","2024-12-17T23:35:19.448Z"
"der Affe (n)","the monkey","","2024-08-26T22:57:49.866Z"
"der Knochen","the bone","Der Arzt hat mir gesagt, dass ich einen Knochenbruch habe.","2024-11-01T20:46:02.227Z"
"zutreffend","applicable","Die Beschreibung des Problems war zutreffend.","2024-11-01T20:14:50.954Z"
"ich schaue mir das mal an","I'll take a look at this","","2024-07-06T20:47:00.094Z"
"Ackerland","Arable land","","2024-09-28T00:09:09.565Z"
"der Mutterleib","the Womb","","2024-06-21T19:16:14.172Z"
"wässrig","Watery","Baristas verwenden den Kaffeebegriff „Körper“, um zu beschreiben, wie sich der Kaffee im Mund anfühlt – ob eher dünn und wässrig oder dick und reichhaltig.","2024-12-16T23:06:04.155Z"
"versammeln","gather","versammeln.","2024-08-24T21:31:27.457Z"
"Falls","If","Falls es regnet, bleiben wir zu Hause.","2024-09-29T11:20:31.297Z"
"die Rinder","the cattle","Die Rinder grasen auf der Wiese.","2024-10-08T14:55:57.161Z"
"gefolgt","followed","Ganz oben auf der Liste der täglich verzehrten Lebensmittel stehen Obst und Gemüse (70 %), gefolgt von Milchprodukten (64 %).","2024-09-05T18:02:12.437Z"
